Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;06:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;06:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;06:40;0,2
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;06:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;07:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;08:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;09:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;10:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;11:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;12:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;13:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:20;0
